text,domain
Data Structures Algorithms,Software Engineering
Jenkins GitHub Actions CI CD Git Problem Solving,Cloud / DevOps
Python NumPy SQL Pandas Statistics,Data Science
Architecture System Design,Software Engineering
React CSS HTML JavaScript Problem Solving,Web Development
Tailwind Bootstrap CSS Problem Solving,Web Development
Model Training Optimization Git,AI / Machine Learning
React JavaScript HTML CSS,Web Development
Shell Scripting Linux,Cloud / DevOps
Angular Vue React Git,Web Development
Visualization Tableau PowerBI Data Analysis,Data Science
Inference AI Research,AI / Machine Learning
Regression Python Machine Learning Classification Git,Data Science
Python EDA Seaborn Matplotlib,Data Science
React CSS JavaScript HTML,Web Development
Data Cleaning Pandas Feature Engineering Problem Solving,Data Science
CI CD GitHub Actions Jenkins Problem Solving,Cloud / DevOps
Model Training Optimization,AI / Machine Learning
System Design Architecture,Software Engineering
NLP BERT Transformers Git,AI / Machine Learning
Classification Scikit Learn Clustering Problem Solving,Data Science
Clustering Classification Scikit Learn,Data Science
Model Training Optimization,AI / Machine Learning
Linux Shell Scripting Git Problem Solving,Cloud / DevOps
Matplotlib Seaborn Python EDA,Data Science
PyTorch TensorFlow Deep Learning,AI / Machine Learning
React Angular Vue Git,Web Development
Backend Microservices Git,Software Engineering
CI CD Jenkins GitHub Actions Git Problem Solving,Cloud / DevOps
Bootstrap CSS Tailwind,Web Development
Neural Networks Computer Vision,AI / Machine Learning
Java Spring Boot REST API Git Problem Solving,Software Engineering
Prometheus Monitoring Logging Problem Solving,Cloud / DevOps
Data Analysis PowerBI Tableau Visualization,Data Science
Data Structures Algorithms,Software Engineering
Bootstrap CSS Tailwind Git,Web Development
Vue Angular React Git,Web Development
Transformers BERT NLP,AI / Machine Learning
Bootstrap Tailwind CSS Git,Web Development
Angular Vue React,Web Development
Model Training Optimization,AI / Machine Learning
Python Seaborn Matplotlib EDA Git,Data Science
Data Analysis Visualization PowerBI Tableau,Data Science
Scikit Learn Classification Clustering,Data Science
ES6 DOM JavaScript Git Problem Solving,Web Development
Inference AI Research,AI / Machine Learning
React Angular Vue,Web Development
Spring Boot Java REST API,Software Engineering
Pandas Data Cleaning Feature Engineering Git Problem Solving,Data Science
Clean Code OOP Design Patterns Problem Solving,Software Engineering
Classification Clustering Scikit Learn,Data Science
AI Research Inference,AI / Machine Learning
Optimization Model Training,AI / Machine Learning
Seaborn Python EDA Matplotlib Git,Data Science
Neural Networks Computer Vision Git,AI / Machine Learning
Data Cleaning Pandas Feature Engineering Problem Solving,Data Science
System Design Architecture,Software Engineering
Backend Microservices Git Problem Solving,Software Engineering
Data Analysis Visualization Tableau PowerBI,Data Science
